Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),Time
Georges Home,Dilithium3,988.438,45.316943677,-75.757950214,3.097,151.244,2021-07-29 19:36:27.320322
Ottawa Edge,Dilithium3,986.686,45.317068956,-75.757918839,8.777,137.818,2021-07-29 19:39:45.014448
Georges Home,Dilithium2,0.056,45.315395597,-75.757612535,3.248,325.297,2021-07-29 19:34:02.538942
Toronto Edge,Dilithium2,982.118,45.315599096,-75.757534475,7.815,303.913,2021-07-29 19:40:22.848981
Ottawa Edge,Dilithium2,966.877,45.315351813,-75.757625085,6.296,329.98,2021-07-29 19:41:57.874012
Toronto Edge,Dilithium5,5.346,45.317888902,-75.757597179,2.753,65.138,2021-07-29 19:32:12.787528
Toronto Edge,Dilithium3,987.991,45.315264813,-75.75796567,3.42,337.065,2021-07-29 19:37:33.555858
Georges Home,Dilithium5,4.949,45.315228487,-75.757879144,2.929,341.527,2021-07-29 19:33:51.294550
Toronto Edge,Dilithium3,990.094,45.31728961,-75.757822141,3.56,115.378,2021-07-29 19:36:15.271182
Toronto Edge,Dilithium3,3.531,45.316894887,-75.75796885,3.633,156.448,2021-07-29 19:32:43.888530
Ottawa Edge,Dilithium2,995.476,45.315708699,-75.757481515,8.095,292.689,2021-07-29 19:42:04.172977
Georges Home,Dilithium2,0.754,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:40.401795
Ottawa Edge,Dilithium2,12.86,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:51.018907
Toronto Edge,Dilithium2,996.857,45.316805988,-75.757056882,3.56,187.974,2021-07-29 19:34:51.019910
Ottawa Edge,Dilithium2,997.203,45.316358354,-75.75725028,3.209,227.53,2021-07-29 19:34:34.397028
Toronto Edge,Dilithium2,997.082,45.316751132,-75.758012775,3.105,172.002,2021-07-29 19:36:34.252614
Ottawa Edge,Dilithium2,6.422,45.316665137,-75.758050237,3.457,181.315,2021-07-29 19:36:37.453422
Ottawa Edge,Dilithium3,962.448,45.316453831,-75.758168517,14.395,204.439,2021-07-29 19:43:00.606697
Ottawa Edge,Dilithium2,5.196,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:08.206251
Toronto Edge,Dilithium2,976.925,45.315408066,-75.758438333,7.524,321.2,2021-07-29 19:40:07.604480
Toronto Edge,Dilithium3,0.604,45.315247026,-75.757767708,2.842,340.229,2021-07-29 19:33:55.111847
Toronto Edge,Dilithium3,970.466,45.316262884,-75.75726302,8.179,237.272,2021-07-29 19:42:12.013076
Ottawa Edge,Dilithium3,966.93,45.316799787,-75.757060019,7.731,188.464,2021-07-29 19:42:20.140314
Toronto Edge,Dilithium2,991.587,45.316597989,-75.757153581,3.293,205.452,2021-07-29 19:38:22.397863
Toronto Edge,Rainbow-I-Classic,972.74,45.317154847,-75.756897806,13.704,162.51,2021-07-29 19:43:34.506109
Ottawa Edge,Rainbow-I-Classic,6.585,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:57.794253
Toronto Edge,Dilithium3,3.558,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:40.659689
Ottawa Edge,Dilithium2,3.248,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:47.411278
Toronto Edge,Dilithium2,10.405,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:41.022959
Georges Home,Dilithium5,10.644,45.317801207,-75.757619142,3.366,71.094,2021-07-29 19:32:15.604089
Ottawa Edge,Dilithium5,4.938,45.317863846,-75.757603454,3.097,66.745,2021-07-29 19:32:13.654068
Ottawa Edge,Dilithium5,975.639,45.317070678,-75.756953906,3.834,167.29,2021-07-29 19:38:38.317536
Toronto Edge,Rainbow-I-Classic,22.393,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:08.564016
