Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium5,12.482,45.315233208,-75.757916227,3.033,340.803
Georges Home,Dilithium5,986.965,45.317070678,-75.756953906,3.834,167.29
Ottawa Edge,Dilithium5,0.997,45.317121869,-75.757872153,4.009,132.674
Toronto Edge,Dilithium5,4.394,45.315808923,-75.757456415,3.461,282.166
Ottawa Edge,Dilithium5,982.708,45.316505667,-75.757191044,3.457,213.797
Georges Home,Dilithium5,986.925,45.315844932,-75.757434641,3.728,278.613
Georges Home,Dilithium5,987.618,45.317133317,-75.756938217,3.735,162.433
Ottawa Edge,Dilithium5,993.03,45.31675125,-75.757084931,3.309,192.337
Georges Home,Dilithium5,1.728,45.316739925,-75.758021999,3.384,173.184
Toronto Edge,Dilithium5,991.148,45.317436671,-75.75775663,3.468,101.306
Georges Home,Dilithium5,972.646,45.317269424,-75.756888203,3.911,153.309
Ottawa Edge,Dilithium5,5.903,45.316512944,-75.758118695,3.996,197.955
Ottawa Edge,Dilithium5,981.258,45.316942347,-75.757013143,3.75,176.579
Georges Home,Dilithium5,996.646,45.316918622,-75.757956489,3.274,153.944
Georges Home,Dilithium5,987.55,45.31766852,-75.756719711,3.56,135.155
Georges Home,Dilithium5,5.53,45.31709206,-75.75789079,3.911,135.658
Toronto Edge,Dilithium5,12.02,45.316198393,-75.758240489,3.281,232.837
Toronto Edge,Dilithium5,982.119,45.316671582,-75.757122394,3.377,199.003
Ottawa Edge,Dilithium5,991.615,45.316106444,-75.757356391,3.02,251.846
Ottawa Edge,Dilithium5,990.795,45.31753532,-75.757719168,3.644,92.239
Georges Home,Dilithium5,994.462,45.31704707,-75.756969405,3.633,168.731
Toronto Edge,Dilithium5,990.353,45.317109593,-75.757881566,3.575,133.873
Ottawa Edge,Dilithium5,980.999,45.316671582,-75.757122394,3.377,199.003
Toronto Edge,Dilithium5,989.136,45.316165935,-75.757315981,3.728,246.343
Georges Home,Dilithium5,5.989,45.317190709,-75.757853328,4.002,125.485
Georges Home,Dilithium5,992.898,45.317048527,-75.757909615,3.117,140.175
Ottawa Edge,Dilithium5,983.772,45.315284641,-75.757708852,3.574,336.565
Georges Home,Dilithium5,980.596,45.316480611,-75.757197319,3.644,216.208
Georges Home,Dilithium5,0.857,45.318013799,-75.757154548,2.92,87.557
Toronto Edge,Dilithium5,6.296,45.315536457,-75.757550163,3.633,310.571
Georges Home,Dilithium5,15.41,45.316295841,-75.757269106,3.834,233.642
Ottawa Edge,Dilithium5,971.555,45.317959599,-75.757547544,1.718,63.094
Ottawa Edge,Dilithium5,994.623,45.315995267,-75.75739699,3.366,263.01
Ottawa Edge,Dilithium5,989.961,45.316751132,-75.758012775,3.105,172.002
Ottawa Edge,Dilithium5,980.309,45.317515133,-75.756785225,3.75,140.569
