Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium3,985.118,45.315315271,-75.758212888,6.923,330.964
Ottawa Edge,Dilithium3,977.218,45.316971903,-75.756988231,8.538,174.847
Toronto Edge,Dilithium3,12.265,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium3,963.09,45.318018901,-75.757401966,6.472,69.507
Georges Home,Dilithium3,959.297,45.31529399,-75.757730436,7.791,335.343
Toronto Edge,Dilithium3,959.579,45.315451909,-75.757596847,9.155,319.282
Toronto Edge,Dilithium3,989.657,45.316067286,-75.757353443,3.725,256.108
Ottawa Edge,Dilithium3,29.545,45.315326351,-75.758401438,2.994,330.114
Ottawa Edge,Dilithium3,998.234,45.315247026,-75.757767708,2.842,340.229
Georges Home,Dilithium3,968.192,45.315411246,-75.758413611,6.587,320.739
Ottawa Edge,Dilithium3,959.265,45.317407115,-75.757781542,16.245,103.767
Ottawa Edge,Dilithium3,982.611,45.315264718,-75.757913089,3.785,337.324
Georges Home,Dilithium3,982.765,45.315844932,-75.757434641,3.728,278.613
Toronto Edge,Dilithium3,988.36,45.31562441,-75.758465438,3.274,297.342
Ottawa Edge,Dilithium3,998.857,45.317195714,-75.757847242,3.372,125.047
Ottawa Edge,Dilithium3,958.729,45.317264681,-75.757831554,17.041,117.877
Ottawa Edge,Dilithium3,982.936,45.317810953,-75.756669696,3.184,131.318
Toronto Edge,Dilithium3,999.484,45.315312124,-75.758188166,3.826,331.313
Toronto Edge,Dilithium3,973.157,45.316051585,-75.758312272,14.127,249.289
Toronto Edge,Dilithium3,991.033,45.316671582,-75.757122394,3.377,199.003
Ottawa Edge,Dilithium3,965.376,45.31697506,-75.757943939,7.811,147.851
Ottawa Edge,Dilithium3,4.715,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,980.68,45.316875081,-75.757044331,4.009,181.747
Georges Home,Dilithium3,975.613,45.318034513,-75.757321522,3.432,74.541
Toronto Edge,Dilithium3,959.739,45.315273656,-75.757773793,8.093,337.236
Georges Home,Dilithium3,9.226,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,992.224,45.315282157,-75.758052196,3.679,334.839
Georges Home,Dilithium3,3.475,45.31627856,-75.757284605,3.56,235.095
Ottawa Edge,Dilithium3,987.428,45.315365761,-75.758410662,3.223,325.775
Toronto Edge,Dilithium3,962.313,45.317982986,-75.757476323,7.964,66.304
Toronto Edge,Dilithium3,989.908,45.316438155,-75.758146932,7.459,206.207
Ottawa Edge,Dilithium3,965.659,45.315350207,-75.757662168,8.082,329.773
Georges Home,Dilithium3,958.988,45.316816919,-75.75802181,14.043,164.657
Ottawa Edge,Dilithium3,0.732,45.317394208,-75.757775267,3.553,105.283
Georges Home,Dilithium3,966.625,45.317953927,-75.756984626,6.645,102.385
Toronto Edge,Dilithium3,995.46,45.31802957,-75.757228716,3.288,81.499
Toronto Edge,Dilithium3,998.202,45.317490077,-75.756791501,3.293,141.916
Georges Home,Dilithium3,6.578,45.316987209,-75.757931389,3.827,146.651
Georges Home,Dilithium3,10.881,45.316808766,-75.758003174,3.451,165.688
Toronto Edge,Dilithium3,980.848,45.317692001,-75.756701074,3.475,135.102
Ottawa Edge,Dilithium3,961.781,45.31669334,-75.758068684,16.177,178.098
Toronto Edge,Dilithium3,967.215,45.317988743,-75.757160823,6.746,88.128
Ottawa Edge,Dilithium3,2.038,45.317364399,-75.757793903,3.633,107.994
Georges Home,Dilithium3,982.137,45.317933338,-75.75682079,3.254,115.2
Ottawa Edge,Dilithium3,969.927,45.315310423,-75.758172667,8.368,331.507
Toronto Edge,Dilithium3,993.863,45.31792359,-75.757569318,2.84,64.205
Georges Home,Dilithium3,0.903,45.316984431,-75.756985094,3.659,173.814
