Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Rainbow-I-Classic,972.74,45.317154847,-75.756897806,13.704,162.51
Ottawa Edge,Rainbow-I-Classic,6.585,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,3.558,45.315293331,-75.758293328,3.064,333.483
Ottawa Edge,Dilithium2,3.248,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium2,10.405,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,10.644,45.317801207,-75.757619142,3.366,71.094
Ottawa Edge,Dilithium5,4.938,45.317863846,-75.757603454,3.097,66.745
Ottawa Edge,Dilithium5,975.639,45.317070678,-75.756953906,3.834,167.29
Toronto Edge,Rainbow-I-Classic,22.393,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,999.095,45.317252027,-75.757831554,3.548,119.241
Georges Home,Dilithium2,971.772,45.31799337,-75.757145324,6.623,89.058
Toronto Edge,Dilithium3,9.167,45.31575381,-75.758406017,3.196,282.692
Georges Home,Dilithium2,1.905,45.316358354,-75.75725028,3.209,227.53
Toronto Edge,Dilithium2,989.766,45.315253575,-75.757823426,3.522,339.098
Toronto Edge,Dilithium5,7.439,45.316087216,-75.758281087,3.633,245.255
Georges Home,Dilithium3,979.937,45.316942347,-75.757013143,3.75,176.579
Ottawa Edge,Dilithium2,988.576,45.315332615,-75.758299414,7.143,329.13
Georges Home,Dilithium3,995.791,45.315691418,-75.757497014,3.468,294.345
Toronto Edge,Dilithium2,990.371,45.316228575,-75.757300293,3.834,240.027
Toronto Edge,Dilithium5,996.126,45.317238167,-75.756897616,3.81,155.419
Toronto Edge,Rainbow-I-Classic,988.446,45.318025323,-75.757454549,3.328,65.5
Georges Home,Dilithium5,988.275,45.317134649,-75.757875291,3.105,131.232
Toronto Edge,Dilithium3,974.903,45.315408066,-75.758438333,7.524,321.2
Toronto Edge,Dilithium2,15.739,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium2,973.398,45.317875231,-75.756768397,7.229,121.383
Ottawa Edge,Dilithium3,972.547,45.316491312,-75.757175545,7.744,215.729
Ottawa Edge,Dilithium3,960.39,45.317930255,-75.756898096,7.694,109.662
Toronto Edge,Dilithium3,993.219,45.317999633,-75.757043295,2.806,96.285
Georges Home,Dilithium3,11.51,45.315560065,-75.757534664,3.834,308.185
Ottawa Edge,Dilithium2,997.379,45.316186238,-75.757322067,3.484,244.043
Ottawa Edge,Dilithium2,7.171,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,982.833,45.317875231,-75.756768397,7.229,121.383
Georges Home,Dilithium2,2.859,45.316776305,-75.757078656,3.3,190.087
Georges Home,Dilithium2,968.21,45.315349897,-75.758283915,6.178,327.182
Toronto Edge,Dilithium2,981.64,45.317996454,-75.757068018,3.564,94.586
Ottawa Edge,Dilithium2,979.894,45.317238167,-75.756897616,3.81,155.419
Toronto Edge,Dilithium5,38.02,45.317613781,-75.756747762,3.56,136.541
Toronto Edge,Dilithium2,979.796,45.317526066,-75.757750166,9.054,92.225
Georges Home,Dilithium5,993.869,45.31704707,-75.756969405,3.633,168.731
Ottawa Edge,Dilithium5,1.784,45.316198393,-75.758240489,3.281,232.837
Toronto Edge,Dilithium2,982.091,45.317446292,-75.756804052,3.575,144.279
